CompanyName,Job Title,Job Source,Cleaned Primary Tech Stack,Primary Tech Stack,Secondary Tech Stacks,Phase,Applied At,Lead Created At
medeanalytics,Senior Software Engineer,builtin,.NET,.NET,TypeScript,Interview,5/9/2024 16:28,7/12/2024 12:52
metify,Front End Developers,LinkedIn,Node.js,React,JavsScript,Interview,7/12/2024 11:28,7/12/2024 11:41
"teamsoft, inc",Ruby on Rails Developer,Web,Ruby,Ruby,React,Interview,7/9/2024 6:58,7/12/2024 10:56
Conscia Talent,Full Stack Software Engineer,Web,Python,Python,Django,Interview,7/10/2024 6:13,7/12/2024 10:54
Talentlew,Front-end developer,LinkedIn,Node.js,JavaScript,CSS and HTML,Not Hired,7/9/2024 14:04,7/12/2024 10:25
mytime,Backend engineer,Upsell,Node.js,React,Python,Upsell,7/12/2024 10:11,7/12/2024 10:11
legitscript,Lead Software Engineer,LinkedIn,Node.js,JavaScript/TypeScript,React,Not Hired,7/2/2024 12:59,7/12/2024 9:43
memora health,Staff Software Engineer,Otta,Node.js,Node.js,TypeScript and Python,Interview,7/3/2024 16:48,7/12/2024 9:16
Nevermind,Remote Software/ML Engineer,Company's Website,Python,Python,AIML,Not Hired,7/12/2024 9:11,7/12/2024 9:12
"digital harbor, inc.",Backend Engineer,Via direct email,Node.js,MERN,React,Test Project,7/12/2024 8:49,7/12/2024 9:06
Retan,MERN-Full stack developers,LinkedIn Chat,Node.js,Full Stack Developer,MERN,Interview,7/4/2024 15:28,7/12/2024 8:59
mixpanel,Senior Software Engineer,Direct Web,Python,Python,Flask,Interview,6/25/2024 7:59,7/12/2024 8:52
ApproveShield LLC,Ruby on Rails Engineer,Glassdoor,Ruby,Ruby on Rails,JavaScript,Not Hired,7/8/2024 9:42,7/12/2024 8:44
hackerone,Sr Software Engineer IV (Analytics & Intelligence),Web,Ruby,Ruby,React,Not Hired,7/10/2024 12:25,7/12/2024 8:36
clipboard health,FullStack Software Engineer,Web,Node.js,MERN,Next.js,Test Project,7/12/2024 7:17,7/12/2024 8:11
Digital Harbor,Back end Engineer,Simplyhired,Node.js,MERN,Node.js,Test Project,6/28/2024 7:01,7/12/2024 7:36
archer affiliates,Experienced Backend Developer,Dynamite Jobs,Python,Python,Django,Interview,7/10/2024 11:53,7/12/2024 7:05
centaur labs,React Engineer,ycombinator,Node.js,React,React,Not Hired,7/8/2024 12:38,7/12/2024 7:05
speechify inc,"Senior Software Engineer, Web",weworkremotely,Node.js,MERN,React and TypeScript,Test Project,7/4/2024 11:12,7/12/2024 7:05
Smyl Fitness Rx,python engineer,LinkedIn,Python,Python,Node.js,Test Project,7/9/2024 6:41,7/12/2024 7:03
nbh bank,2U Sr. Full Stack Engineer (React Node),Indeed,Node.js,MERN,Frontend,Test Project,7/10/2024 7:02,7/12/2024 6:57
Easy Button Skip Trace,Back End Developer,Simplyhired,Node.js,MERN,Node.js,Interview,7/11/2024 12:57,7/12/2024 6:48
sandtech,Senior Ruby on Rails Engineer,GreenHouse,Ruby,Ruby on Rails,AWS,Not Hired,6/20/2024 5:20,7/12/2024 6:17
