CompanyName,Job Title,Job Source,Cleaned Primary Tech Stack,Primary Tech Stack,Secondary Tech Stacks,Phase,Applied At,Lead Created At
givingdata,Senior Full-Stack Developer,Glass Door,.NET,.NET,,Interview,7/3/2024 6:18,7/22/2024 9:47
loaded,Backend/Data Engineer,Web,Python,Python,Django,Not Hired,7/10/2024 11:39,7/22/2024 9:13
bright,Fullstack Engineer at Bright,ycombinator,Node.js,React,Node.js,Interview,7/18/2024 9:43,7/22/2024 9:03
icf,Senior Software Engineer (Python) (Remote).,Indeed,Python,Python,CI/CD,Interview,7/18/2024 16:50,7/22/2024 8:46
huntress,"Senior Software Engineer, Ruby on Rails",Simplyhired,Ruby,Ruby on Rails,Ruby,Interview,7/1/2024 2:30,7/22/2024 8:39
foresight sports,"Sr. Ruby on Rails Developer, PinSeeker",Direct Web,Ruby,Ruby on Rails,GraphQL and Redis,Interview,7/11/2024 10:40,7/22/2024 8:34
gxm consulting llc,Full Stack Developer,Direct Web,Python,Python,Node.js,Not Hired,7/11/2024 8:27,7/22/2024 8:28
Unlock Health,Senior Software Engineer,Direct Web,Node.js,JavaScript,Cloud,Interview,7/19/2024 8:21,7/22/2024 8:07
adlumin,Senior Front End Developer,LinkedIn,Ruby,Ruby,Ruby on Rails,Prospect,5/31/2024 10:23,7/22/2024 8:05
Pangian,Fullstack Developer,LinkedIn,Node.js,Node.js,React,Interview,7/19/2024 7:34,7/22/2024 7:52
expedition co,Senior Software Engineer,LinkedIn,Node.js,Node.js,MERN,Test Project,7/17/2024 12:24,7/22/2024 7:51
swish analytics,Staff Software Engineer,Linkup,Python,Python,Node.js,Interview,7/11/2024 9:38,7/22/2024 7:48
ever.ag,"Backend Software Engineer,",Simplyhired,Python,Python,Ruby on Rails,Test Project,7/22/2024 6:57,7/22/2024 7:41
Ellty,Full Stack Developer 40h/w [React / NestJS] at Ellty,Wellfound,Node.js,React,NEST,Test Project,7/19/2024 14:03,7/22/2024 7:24
spocket,Full-Stack Engineer,LinkedIn,Node.js,Full Stack Developer,"React, TypeScript, Python, and Ruby",Interview,7/22/2024 5:24,7/22/2024 7:08
netguru,React Developer,Via direct email,Node.js,React,JavaScript,Test Project,7/22/2024 6:48,7/22/2024 7:04
Revive,engineering manager,Simplyhired,Ruby,Ruby,"Database, MERN, DevOps, JavaScript, and Ruby on Rails",Interview,7/4/2024 10:29,7/22/2024 6:34
redox,Senior Software Engineer - Fullstack,Linkup,Node.js,Node.js,React,Interview,7/16/2024 3:31,7/22/2024 5:29
Doge Labs VR,Lead Backend Engineer,NoDesk,Node.js,Node.js,PostgreSQL,Interview,7/19/2024 13:15,7/22/2024 5:04
"hottinger, bruel & kjaer",Senior Software Engineer,Via direct email,Node.js,Node.js,AWS,Interview,6/26/2024 8:34,7/22/2024 4:48
semgrep,Full Stack Developer,Built in ,Python,Python,JavaScript,Interview,7/12/2024 16:10,7/19/2024 19:22
phamily,Software Engineer,Simplify,Ruby,Ruby,Ruby,Interview,7/18/2024 16:37,7/19/2024 15:06
oklo inc,Software Engineer - Remote,builtin,Python,Python,GitHub,Interview,6/6/2024 11:23,7/19/2024 14:38
VerTALENTS,Backend Engineer,Indeed,Python,Python,Django,Interview,6/13/2024 11:58,7/19/2024 14:33
hopskipdrive,Sr. Rails Engineer,Direct Web,Ruby,Ruby,MySQL,Interview,7/3/2024 16:15,7/19/2024 14:24
torch,Sr. Software Engineer (Ruby),Simplify,Ruby,Ruby on Rails,React,Interview,7/18/2024 3:51,7/19/2024 14:20
vergesense,Rails Developer,LinkedIn,Node.js,JavaScript,Ruby on Rails,Interview,7/17/2024 13:47,7/19/2024 14:19
apartment list,"Senior Software Engineer, Marketplace",builtin,Ruby,Ruby,TypeScript,Interview,7/12/2024 11:38,7/19/2024 13:47
enveritas,Backend Software Engineer - Python/Postgres [Remote / Global],Web,Python,Python,React,Interview,7/3/2024 17:58,7/19/2024 13:43
midwest tape,Lead Node Developer,Web,Node.js,Node.js,MERN,Interview,7/11/2024 14:11,7/19/2024 13:20
cognitive space,Full Stack Engineer,Company's Website,Python,Python,JavaScript,Not Hired,7/2/2024 11:58,7/19/2024 13:06
avasure llc,Principal Software Engineer,Indeed,Python,Python,"Web, HTML5, C#, Java, and C++",Interview,7/17/2024 5:51,7/19/2024 12:56
moore,Software Engineer,Web,Python,Python,,Interview,7/15/2024 15:37,7/19/2024 12:55
nabis,Senior-Software Engineer,builtin,Node.js,MERN,JavaScript,Interview,7/18/2024 12:21,7/19/2024 11:40
All Hands AI,Senior Full Stack Engineer,Simplyhired,Python,Python,Python,Interview,7/12/2024 10:46,7/19/2024 9:23
teksystems,Full Stack Dev,LinkedIn Chat,Ruby,Ruby,SQL,Interview,7/19/2024 8:56,7/19/2024 8:56
Lappo,API Developer,LinkedIn,Python,Python,API,Test Project,7/19/2024 8:21,7/19/2024 8:38
lattice,"Senior Software Engineer, Payroll",LinkedIn,Ruby,RubyMotion,Node.js,Interview,7/10/2024 9:42,7/19/2024 8:25
Oura,"Senior Backend Engineer, Ecosy",Workable,Python,Python,AWS,Interview,7/8/2024 7:47,7/19/2024 7:34
healthverity,"Staff Software Engineer,.",Indeed,Python,Python,Python,Interview,7/9/2024 11:42,7/19/2024 7:14
coodesh,Full stack developer,LinkedIn,Node.js,React,Node.js,Not Hired,5/2/2024 8:45,7/19/2024 7:04
hackerrank,Software Development Engineer II - Backend (Remote).,builtin,Ruby,Ruby on Rails,Node.js,Interview,7/9/2024 10:11,7/19/2024 6:49
articulate,Senior Software Engineer I (Reach 360),LinkedIn,Node.js,JavaScript,Node.js,Interview,7/3/2024 11:38,7/19/2024 6:41
sales talent inc,Expert Python Software-Developer,LinkedIn,Python,Python,Backend Development,Interview,7/18/2024 10:43,7/18/2024 18:11
The Patrick J. McGovern Foundation,Backend Software Engineer,Linkup,Python,Python,SQL,Interview,7/16/2024 14:22,7/18/2024 16:35
patrick j. mcgovern foundation,Backend Software Engineer,Glassdoor,Python,Python,MySQL,Interview,6/24/2024 10:38,7/18/2024 15:03
Meople,Full Stack Engineer..,LinkedIn,Node.js,React,Node.js,Interview,7/15/2024 10:50,7/18/2024 14:51
sphinx defense,Senior Backend Engineer,Direct Website,Python,Python,AWS,Interview,7/4/2024 8:19,7/18/2024 14:45
BELVA,Full Stack Project Lead,Glassdoor,Python,Python,Microsoft Word,Interview,7/10/2024 8:12,7/18/2024 14:38
vanik.io,"FOUNDING ENGINEER, FULL STACK",Web,Node.js,TypeScript,TypeScript,Interview,7/18/2024 13:16,7/18/2024 13:49
self financial,Senior Backend Software Engineer,Direct Website,Python,Python,GitLab,Interview,7/18/2024 8:34,7/18/2024 13:43
algolia,Software Engineer,builtin,Ruby,Ruby,Python,Interview,7/4/2024 13:56,7/18/2024 13:38
internet marketing expert group,Node.js Developer,Direct Website,Node.js,Node.js,Node.js,Interview,7/9/2024 5:52,7/18/2024 13:36
"Culture, Values, & Careers",Senior Backend Developer (AdTech),Simplyhired,.NET,.NET,AWS,Interview,6/18/2024 11:30,7/18/2024 13:35
marketaxess,"Software Engineer, Typescript & React",Remoteok,Node.js,Node.js,Node.js,Interview,7/12/2024 9:27,7/18/2024 13:17
evolution,Principal Software Engineer,LinkedIn,Ruby,Ruby,ML,Interview,7/18/2024 11:49,7/18/2024 12:54
paylocity,Engineer Software (Developer Platform),Built in ,.NET,C#,.NET,Interview,6/14/2024 11:09,7/18/2024 12:44
ninjaholdings,"Sr. Ruby on Rails Engineer .,",builtin,Ruby,Ruby,React,Interview,7/15/2024 9:11,7/18/2024 12:40
corvel corporation,Sr. Full -Stack Microsoft Engineer with Angular/Typescript,Web,.NET,.NET,Angular,Not Hired,7/18/2024 10:50,7/18/2024 12:29
clinicmind,Senior Front End Software Developer - Work From Home,Direct Website,Node.js,MERN,Frontend,Interview,7/18/2024 9:18,7/18/2024 12:06
angle health,Fullstack Software Engineer,Direct Web,Python,Python,React,Interview,7/18/2024 10:42,7/18/2024 11:59
consolidated analytics,Backend Software Engineer,Web,Python,Python,Azure and Node.js,Interview,7/11/2024 13:57,7/18/2024 11:07
segmed,Full Stack Software Engineer,clearance,Python,Python,JavaScript,Interview,6/3/2024 7:47,7/18/2024 11:00
the gnar company,Software Engineer,LinkedIn,Ruby,Ruby,React,Not Hired,7/18/2024 10:15,7/18/2024 10:16
Caktus,Web Developer,Simplyhired,Python,Python,Django,Test Project,7/18/2024 10:14,7/18/2024 10:15
tekletics,Sr. Ruby on Rails Developer,Simplyhired,Ruby,Ruby on Rails,React,Interview,7/17/2024 13:32,7/18/2024 9:59
tempo labs,Frontend Engineer (React),Y-Combinator,Node.js,React,TypeScript,Warm Lead,7/11/2024 12:33,7/18/2024 9:01
social valid llc,Backend Python Developer,Simplyhired,Python,Python,JavaScript,Interview,7/5/2024 15:57,7/18/2024 9:01
m science,Front End Software Engineer,Via direct email,Node.js,JavaScript,REST,Interview,7/15/2024 9:08,7/18/2024 8:54
regard,Senior Backend Engineer,Direct Web,Python,Python,Kubernetes,Interview,6/28/2024 7:20,7/18/2024 8:41
hausanalytics,Senior Full Stack Engineer,builtin,Python,Python,Python,Interview,7/2/2024 11:03,7/18/2024 8:30
pulumi corporation,Principal Full Stack Engineer,Otta,Node.js,Full Stack Developer,JavaScript,Interview,7/17/2024 12:19,7/18/2024 8:12
inspira financial,Sr. Software Engineer (Remote)1,Simplyhired,.NET,.NET,C#,Interview,7/18/2024 7:56,7/18/2024 7:57
webscale network,Software Engineer III,Glass Door,Node.js,MERN,React,Interview,7/18/2024 6:46,7/18/2024 7:43
Studious Pro,Backend Engineer,Via direct email,Python,Python,Ruby,Interview,7/17/2024 16:25,7/17/2024 16:27
"capital technology group, llc",Software Engineer Level II,LinkedIn,Node.js,JavaScript,"Python, Ruby on Rails, and Ruby",Interview,7/9/2024 7:02,7/17/2024 16:09
root inc,Senior Software Engineer,LinkedIn,Ruby,Ruby,React,Interview,7/11/2024 7:24,7/17/2024 15:37
octave,"Senior Backend Engineer,",Otta,Python,Python,Django,Interview,7/12/2024 11:17,7/17/2024 15:20
GoMotive,Staff Software Engineer,LinkedIn,Ruby,Ruby on Rails,NoSQL,Interview,7/15/2024 15:30,7/17/2024 15:12
openforce,Senior Software Engineer,Simplyhired,.NET,.NET,C#,Interview,6/6/2024 12:30,7/17/2024 14:53
steel point solutions,Mid-Level Python API Developer,ZipRecruiter,Python,Python,Django,Interview,7/3/2024 13:25,7/17/2024 14:48
partners fcu,Sr. Developer,Glassdoor,.NET,.NET,.NET,Interview,7/16/2024 14:20,7/17/2024 14:38
real time consulting,Software Engineer - Python GUI Tool Developer,Indeed,Python,Python,GUI Testing,Interview,6/27/2024 7:13,7/17/2024 14:22
databricks,Learning Architect - Machine Learning/Data Engineering,Web,Python,Python,ML and SQL,Interview,7/4/2024 10:37,7/17/2024 13:53
restore hyper wellness,Senior Software Engineer - Backend,Web,Node.js,JavaScript,TypeScript,Interview,7/17/2024 10:41,7/17/2024 13:35
immunefi,Senior Fullstack Typescript Developer,Direct Web,Node.js,JavaScript/TypeScript,React,Test Project,7/9/2024 17:57,7/17/2024 13:22
venteur,Senior/Principal Software Engineer - Fintech,LinkedIn Chat,.NET,.NET,TypeScript,Interview,7/17/2024 13:13,7/17/2024 13:16
"penn entertainment, inc",Front End Engineer,Indeed,Node.js,MERN,React,Interview,7/9/2024 11:20,7/17/2024 13:08
JustPaid.io,Full Stack Engineer,Web,Python,Python,Django,Interview,7/15/2024 12:31,7/17/2024 13:07
lincoln financial group,Full Stack Developer (Remote),LinkedIn,Python,Python,Angular,Interview,6/27/2024 8:03,7/17/2024 12:43
certifyos,Senior Platform Engineer - Javascript,LinkedIn,Node.js,JavaScript,React,Interview,7/17/2024 12:06,7/17/2024 12:10
instrumentl,Senior Full-Stack Engineer,Web,Ruby,Ruby,JavsScript,Interview,7/15/2024 8:40,7/17/2024 12:03
skyrocket ventures,Software Developer,Direct Web,Ruby,Ruby,Ruby on Rails,Interview,7/16/2024 3:40,7/17/2024 11:43
recharge,Senior Software Engineer (Backend),Otta,Python,Python,Flask,Interview,7/1/2024 13:59,7/17/2024 11:30
stem search group,Sr. Software Engineer,LinkedIn,Ruby,Ruby on Rails,React,Not Hired,7/17/2024 9:00,7/17/2024 9:01
david energy,"Senior Software Engineer, Backend",Simplify,Ruby,Ruby on Rails,AWS,Interview,7/11/2024 8:04,7/17/2024 8:43
Morf Health,Senior Frontend Software Engineer,Y-Combinator,Node.js,Node.js,JavaScript/TypeScript,Interview,7/15/2024 3:40,7/17/2024 7:11
3play media,"Staff Engineer .,",Ruby on Remote,Ruby,Ruby,React,Interview,7/3/2024 8:34,7/17/2024 6:26
sawyer,Staff Engineer,Via direct email,Ruby,Ruby on Rails,React,Interview,7/15/2024 10:31,7/17/2024 5:17
apollo.io,Senior Backend Engineer,Via direct email,Ruby,Ruby,Ruby,Interview,7/16/2024 13:54,7/16/2024 15:59
fleetio,"Senior Software Engineer, R&A",Direct Web,Ruby,Ruby on Rails,React,Not Hired,7/1/2024 9:30,7/16/2024 15:38
root,Senior Software Engineer,LinkedIn,Ruby,Ruby,Ruby on Rails,Interview,6/14/2024 8:03,7/16/2024 15:32
peach finance,Sr. Frontend Engineer,Simplyhired,Node.js,JavaScript,TypeScript,Interview,7/16/2024 14:21,7/16/2024 14:25
colorado state university,web application developer,talent,Node.js,Node.js,"Database, MERN, and JavaScript",Interview,7/10/2024 11:26,7/16/2024 14:18
aviron software,senior .net full stack developer,Simplyhired,.NET,C#,"AI, ML, ML Engineer, Database, .NET, MERN, DevOps, JavaScript, and React Native",Not Hired,7/2/2024 7:09,7/16/2024 13:55
pathrise,Software Engineering Mentor (Part-time),Company's Website,Ruby,Ruby on Rails,Software Engineer,Interview,5/10/2024 7:51,7/16/2024 13:11
SMX,C# Developer (3609),Indeed,.NET,C#,.NET,Interview,6/4/2024 11:29,7/16/2024 12:57
maple,Full Stack Engineer,Direct Web,Node.js,React,Node.js,Interview,7/16/2024 9:13,7/16/2024 12:54
LINCOLN TECH,User Interface (UI) Developer - Remote,Glassdoor,Node.js,Node.js,React,Interview,6/25/2024 10:58,7/16/2024 12:46
sabanto,"Full Stack Engineer (Nodejs, Cloud)",ResumeLibrary,Node.js,Node.js,React,Interview,7/11/2024 8:49,7/16/2024 11:30
gusto,Software Engineer (Sr. Staff),GreenHouse,Ruby,Ruby on Rails,React,Interview,7/12/2024 13:46,7/16/2024 11:27
GoGoMeds,Senior Lead Developer,Indeed,.NET,C#,SQL,Interview,6/21/2024 14:23,7/16/2024 9:56
snapstream media,Senior Software Engineer (.Net),ZipRecruiter,.NET,C#,.NET,Interview,6/25/2024 12:34,7/16/2024 9:35
wex inc.,Senior .NET Development Engineer (*) Remote,Glassdoor,.NET,.NET,.NET,Not Hired,7/16/2024 9:28,7/16/2024 9:32
"dmarcian, inc",backend software engineer,dynamite,Python,Python,"MERN, JavaScript, and Python",Hired,7/16/2024 9:08,7/16/2024 9:09
motional,Senior Machine Learning Engineer,Web,Python,Python,ML and PyTorch,Interview,7/10/2024 11:58,7/16/2024 8:18
